id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35644,Central Hobart Historic Cottage,153268,Yvette,,Hobart,-42.87895,147.31526,Private room,57,1,257,2020-03-08,2.06,3,0,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
84581,Kentisbury Country House Cradle Coast Tasmania,461471,Melissa,,Kentish,-41.38856,146.2321,Entire home/apt,295,2,109,2023-02-27,1.24,1,316,45,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
137808,Bradman House CBD Launceston Invermay + Free WIFI,673625,Emma And Dale,,Launceston,-41.42683,147.12905,Entire home/apt,239,1,335,2023-03-04,2.49,2,336,74,DA0518/2019
268482,"Anderson Suite, The Ark Stanley, Guest House",1406692,Rhonda,,Circular Head,-40.76467,145.29878,Private room,367,1,5,2022-02-05,0.06,7,241,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
88873,Terrace- 5mins to central Hobart,485048,Russell And Ingrid,,Hobart,-42.88267,147.324,Entire home/apt,125,2,541,2023-03-06,3.76,1,169,57,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
270374,Powerhouse Studio Eagles Rise - Cradle Mountn 1 hr,1090010,Kit,,Central Coast,-41.23613,146.13492,Entire home/apt,195,2,84,2023-02-03,0.84,2,15,13,Exempt: This listing falls under the 'home sharing' exemption
292399,"Rainbow Valley Retreat, Ellendale",1513972,Mandy,,Central Highlands,-42.6226,146.71441,Private room,130,1,195,2023-02-23,1.57,1,340,15,Exempt: This listing falls under the 'home sharing' exemption
252996,Cosy Cabin @ Eagles Rise - Cradle Mountain 1 hour,1090010,Kit,,Central Coast,-41.2357,146.13479,Entire home/apt,120,2,71,2023-03-04,0.54,2,67,15,Exempt: This listing falls under the 'home sharing' exemption
401176,Hobart Delight - sunny and welcoming,2002482,Diana,,Hobart,-42.87002,147.32302,Private room,130,2,91,2023-01-06,0.72,1,316,5,Exempt: This listing falls under the 'home sharing' exemption
326771,Derwent Retreat,1670767,John,,Glenorchy,-42.77808,147.2565,Entire home/apt,240,2,42,2023-01-08,0.48,1,257,11,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
